SSID,RSS,Unit,Time (Date),Batch
TexasStateUniversity,-35.000000,dBm,13:18:28,0
TexasStateWPA,-35.000000,dBm,13:18:28,0
TSUSVisitor,-35.000000,dBm,13:18:28,0
SensorTag-37,-39.000000,dBm,13:18:28,0
SensorTag-37,-31.000000,dBm,13:18:49,2
TexasStateUniversity,-37.000000,dBm,13:18:49,2
TexasStateWPA,-37.000000,dBm,13:18:49,2
TSUSVisitor,-39.000000,dBm,13:18:49,2
inception2,-75.000000,dBm,13:18:49,2
SensorTag-37,-31.000000,dBm,13:19:00,3
TexasStateUniversity,-37.000000,dBm,13:19:00,3
TexasStateWPA,-37.000000,dBm,13:19:00,3
TSUSVisitor,-39.000000,dBm,13:19:00,3
inception2,-75.000000,dBm,13:19:00,3
SensorTag-37,-31.000000,dBm,13:19:11,4
TexasStateUniversity,-37.000000,dBm,13:19:11,4
TSUSVisitor,-37.000000,dBm,13:19:11,4
TexasStateWPA,-39.000000,dBm,13:19:11,4
inception2,-79.000000,dBm,13:19:11,4
SensorTag-37,-31.000000,dBm,13:19:22,5
TexasStateUniversity,-37.000000,dBm,13:19:22,5
TexasStateWPA,-37.000000,dBm,13:19:22,5
TSUSVisitor,-37.000000,dBm,13:19:22,5
inception2,-79.000000,dBm,13:19:22,5
SensorTag-37,-31.000000,dBm,13:19:34,6
TSUSVisitor,-37.000000,dBm,13:19:34,6
TexasStateUniversity,-39.000000,dBm,13:19:34,6
TexasStateWPA,-39.000000,dBm,13:19:34,6
inception2,-81.000000,dBm,13:19:34,6
TexasStateUniversity,-27.000000,dBm,13:19:55,8
TexasStateWPA,-27.000000,dBm,13:19:55,8
TSUSVisitor,-27.000000,dBm,13:19:55,8
inception2,-81.000000,dBm,13:19:55,8
TexasStateUniversity,-27.000000,dBm,13:20:06,9
TexasStateWPA,-27.000000,dBm,13:20:06,9
TSUSVisitor,-27.000000,dBm,13:20:06,9
TexasStateUniversity,-27.000000,dBm,13:20:17,10
TexasStateWPA,-27.000000,dBm,13:20:17,10
TSUSVisitor,-27.000000,dBm,13:20:17,10
TexasStateUniversity,-27.000000,dBm,13:20:28,11
TexasStateWPA,-27.000000,dBm,13:20:28,11
TSUSVisitor,-27.000000,dBm,13:20:28,11
TexasStateUniversity,-27.000000,dBm,13:20:39,12
TexasStateWPA,-27.000000,dBm,13:20:39,12
TSUSVisitor,-27.000000,dBm,13:20:39,12
TexasStateUniversity,-27.000000,dBm,13:21:01,14
TexasStateWPA,-27.000000,dBm,13:21:01,14
TSUSVisitor,-27.000000,dBm,13:21:01,14
TexasStateUniversity,-27.000000,dBm,13:21:12,15
TexasStateWPA,-27.000000,dBm,13:21:12,15
TSUSVisitor,-27.000000,dBm,13:21:12,15
TexasStateUniversity,-25.000000,dBm,13:21:23,16
TexasStateWPA,-25.000000,dBm,13:21:23,16
TSUSVisitor,-25.000000,dBm,13:21:23,16
TexasStateUniversity,-33.000000,dBm,13:21:34,17
TexasStateWPA,-33.000000,dBm,13:21:34,17
TSUSVisitor,-33.000000,dBm,13:21:34,17
TexasStateUniversity,-33.000000,dBm,13:21:45,18
TexasStateWPA,-33.000000,dBm,13:21:45,18
TSUSVisitor,-33.000000,dBm,13:21:45,18
TexasStateUniversity,-25.000000,dBm,13:22:07,20
TSUSVisitor,-25.000000,dBm,13:22:07,20
TexasStateWPA,-33.000000,dBm,13:22:07,20
TexasStateWPA,-25.000000,dBm,13:22:18,21
TexasStateUniversity,-27.000000,dBm,13:22:18,21
TSUSVisitor,-27.000000,dBm,13:22:18,21
TexasStateUniversity,-27.000000,dBm,13:22:29,22
TexasStateWPA,-27.000000,dBm,13:22:29,22
TSUSVisitor,-27.000000,dBm,13:22:29,22
TexasStateUniversity,-27.000000,dBm,13:22:40,23
TexasStateWPA,-27.000000,dBm,13:22:40,23
TSUSVisitor,-27.000000,dBm,13:22:40,23
TexasStateUniversity,-29.000000,dBm,13:22:51,24
TexasStateWPA,-29.000000,dBm,13:22:51,24
TSUSVisitor,-29.000000,dBm,13:22:51,24
TexasStateWPA,-27.000000,dBm,13:23:13,26
TSUSVisitor,-27.000000,dBm,13:23:13,26
TexasStateUniversity,-29.000000,dBm,13:23:13,26
TexasStateUniversity,-29.000000,dBm,13:23:24,27
TSUSVisitor,-29.000000,dBm,13:23:24,27
TexasStateWPA,-31.000000,dBm,13:23:24,27
TSUSVisitor,-27.000000,dBm,13:23:35,28
TexasStateUniversity,-29.000000,dBm,13:23:35,28
TexasStateWPA,-29.000000,dBm,13:23:35,28
SensorTag-37,-47.000000,dBm,13:23:35,28
TexasStateUniversity,-29.000000,dBm,13:23:46,29
TexasStateWPA,-29.000000,dBm,13:23:46,29
TSUSVisitor,-29.000000,dBm,13:23:46,29
SensorTag-37,-47.000000,dBm,13:23:46,29
TexasStateUniversity,-27.000000,dBm,13:23:57,30
TexasStateWPA,-27.000000,dBm,13:23:57,30
TSUSVisitor,-29.000000,dBm,13:23:57,30
SensorTag-37,-45.000000,dBm,13:23:57,30
SensorTag-37,-23.000000,dBm,13:24:19,32
TexasStateUniversity,-33.000000,dBm,13:24:19,32
TexasStateWPA,-33.000000,dBm,13:24:19,32
TSUSVisitor,-33.000000,dBm,13:24:19,32
SensorTag-37,-21.000000,dBm,13:24:30,33
TexasStateUniversity,-33.000000,dBm,13:24:30,33
TexasStateWPA,-33.000000,dBm,13:24:30,33
TSUSVisitor,-33.000000,dBm,13:24:30,33
SensorTag-37,-21.000000,dBm,13:24:41,34
TSUSVisitor,-31.000000,dBm,13:24:41,34
TexasStateUniversity,-33.000000,dBm,13:24:41,34
TexasStateWPA,-33.000000,dBm,13:24:41,34
SensorTag-37,-23.000000,dBm,13:24:52,35
TexasStateUniversity,-33.000000,dBm,13:24:52,35
TexasStateWPA,-33.000000,dBm,13:24:52,35
TSUSVisitor,-33.000000,dBm,13:24:52,35
SensorTag-37,-23.000000,dBm,13:25:13,37
TexasStateUniversity,-33.000000,dBm,13:25:13,37
TexasStateWPA,-33.000000,dBm,13:25:13,37
TSUSVisitor,-33.000000,dBm,13:25:13,37
SensorTag-37,-21.000000,dBm,13:25:25,38
TSUSVisitor,-31.000000,dBm,13:25:25,38
TexasStateUniversity,-33.000000,dBm,13:25:25,38
TexasStateWPA,-33.000000,dBm,13:25:25,38
SensorTag-37,-21.000000,dBm,13:25:38,39
TexasStateUniversity,-33.000000,dBm,13:25:38,39
TexasStateWPA,-33.000000,dBm,13:25:38,39
TSUSVisitor,-33.000000,dBm,13:25:38,39
SensorTag-37,-23.000000,dBm,13:25:50,40
TexasStateUniversity,-33.000000,dBm,13:25:50,40
TexasStateWPA,-33.000000,dBm,13:25:50,40
TSUSVisitor,-33.000000,dBm,13:25:50,40
SensorTag-37,-25.000000,dBm,13:26:02,41
TexasStateUniversity,-33.000000,dBm,13:26:02,41
TexasStateWPA,-33.000000,dBm,13:26:02,41
TSUSVisitor,-33.000000,dBm,13:26:02,41
SensorTag-37,-23.000000,dBm,13:26:14,42
TexasStateUniversity,-33.000000,dBm,13:26:14,42
TexasStateWPA,-33.000000,dBm,13:26:14,42
TSUSVisitor,-33.000000,dBm,13:26:14,42
TexasStateUniversity,-37.000000,dBm,13:26:26,43
TexasStateWPA,-37.000000,dBm,13:26:26,43
TSUSVisitor,-37.000000,dBm,13:26:26,43
SensorTag-37,-49.000000,dBm,13:26:26,43
TSUSVisitor,-35.000000,dBm,13:26:38,44
TexasStateUniversity,-37.000000,dBm,13:26:38,44
TexasStateWPA,-37.000000,dBm,13:26:38,44
SensorTag-37,-49.000000,dBm,13:26:38,44
TexasStateUniversity,-37.000000,dBm,13:26:51,45
TexasStateWPA,-37.000000,dBm,13:26:51,45
TSUSVisitor,-37.000000,dBm,13:26:51,45
SensorTag-37,-49.000000,dBm,13:26:51,45
TSUSVisitor,-35.000000,dBm,13:27:03,46
TexasStateUniversity,-37.000000,dBm,13:27:03,46
TexasStateWPA,-37.000000,dBm,13:27:03,46
SensorTag-37,-51.000000,dBm,13:27:03,46
TexasStateUniversity,-35.000000,dBm,13:27:15,47
TexasStateWPA,-35.000000,dBm,13:27:15,47
TSUSVisitor,-35.000000,dBm,13:27:15,47
SensorTag-37,-49.000000,dBm,13:27:15,47
TexasStateUniversity,-35.000000,dBm,13:27:27,48
TexasStateWPA,-35.000000,dBm,13:27:27,48
TSUSVisitor,-35.000000,dBm,13:27:27,48
SensorTag-37,-49.000000,dBm,13:27:27,48
TexasStateUniversity,-35.000000,dBm,13:27:39,49
TexasStateWPA,-35.000000,dBm,13:27:39,49
TSUSVisitor,-35.000000,dBm,13:27:39,49
SensorTag-37,-55.000000,dBm,13:27:39,49
TexasStateUniversity,-33.000000,dBm,13:27:51,50
TexasStateWPA,-33.000000,dBm,13:27:51,50
TSUSVisitor,-33.000000,dBm,13:27:51,50
SensorTag-37,-57.000000,dBm,13:27:51,50
TexasStateUniversity,-47.000000,dBm,13:28:04,51
TexasStateWPA,-47.000000,dBm,13:28:04,51
TSUSVisitor,-47.000000,dBm,13:28:04,51
SensorTag-37,-61.000000,dBm,13:28:04,51
TexasStateUniversity,-35.000000,dBm,13:28:16,52
TexasStateWPA,-35.000000,dBm,13:28:16,52
TSUSVisitor,-35.000000,dBm,13:28:16,52
SensorTag-37,-59.000000,dBm,13:28:16,52
TexasStateUniversity,-33.000000,dBm,13:28:28,53
TexasStateWPA,-33.000000,dBm,13:28:28,53
TSUSVisitor,-33.000000,dBm,13:28:28,53
SensorTag-37,-59.000000,dBm,13:28:28,53
TexasStateUniversity,-35.000000,dBm,13:28:40,54
TexasStateWPA,-35.000000,dBm,13:28:40,54
TSUSVisitor,-35.000000,dBm,13:28:40,54
SensorTag-37,-61.000000,dBm,13:28:40,54
TexasStateUniversity,-33.000000,dBm,13:28:52,55
TexasStateWPA,-33.000000,dBm,13:28:52,55
TSUSVisitor,-33.000000,dBm,13:28:52,55
SensorTag-37,-61.000000,dBm,13:28:52,55
TexasStateUniversity,-37.000000,dBm,13:29:04,56
TexasStateWPA,-37.000000,dBm,13:29:04,56
TSUSVisitor,-37.000000,dBm,13:29:04,56
SensorTag-37,-39.000000,dBm,13:29:04,56
TexasStateWPA,-35.000000,dBm,13:29:17,57
TSUSVisitor,-35.000000,dBm,13:29:17,57
TexasStateUniversity,-37.000000,dBm,13:29:17,57
SensorTag-37,-47.000000,dBm,13:29:17,57
DirtyDogsSucks2.4,-77.000000,dBm,13:29:17,57
SensorTag-37,-31.000000,dBm,13:29:29,58
TexasStateWPA,-35.000000,dBm,13:29:29,58
TSUSVisitor,-35.000000,dBm,13:29:29,58
TexasStateUniversity,-37.000000,dBm,13:29:29,58
DirtyDogsSucks2.4,-77.000000,dBm,13:29:29,58
SensorTag-37,-33.000000,dBm,13:29:41,59
TexasStateWPA,-35.000000,dBm,13:29:41,59
TSUSVisitor,-35.000000,dBm,13:29:41,59
TexasStateUniversity,-37.000000,dBm,13:29:41,59
DirtyDogsSucks2.4,-77.000000,dBm,13:29:41,59
SensorTag-37,-33.000000,dBm,13:29:53,60
TexasStateUniversity,-37.000000,dBm,13:29:53,60
TexasStateWPA,-37.000000,dBm,13:29:53,60
TSUSVisitor,-37.000000,dBm,13:29:53,60
inception2,-75.000000,dBm,13:29:53,60
SensorTag-37,-31.000000,dBm,13:30:05,61
TexasStateUniversity,-33.000000,dBm,13:30:05,61
TexasStateWPA,-33.000000,dBm,13:30:05,61
TSUSVisitor,-33.000000,dBm,13:30:05,61
inception2,-79.000000,dBm,13:30:05,61
SensorTag-37,-31.000000,dBm,13:30:17,62
TSUSVisitor,-33.000000,dBm,13:30:17,62
TexasStateUniversity,-35.000000,dBm,13:30:17,62
TexasStateWPA,-35.000000,dBm,13:30:17,62
inception2,-81.000000,dBm,13:30:17,62
